drop1i0 - FjordOs(11): 0.166708533673, NorKyst(11): 0.135543056276
drop4i7 - FjordOs(2): 0.551249063581, NorKyst(1): 0.45290788889
drop6i12 - FjordOs(3): 0.0721940733945, NorKyst(11): 0.455830942207
drop7i10 - FjordOs(0): 0.500736617032, NorKyst(0): 0.555661092655
drop8i1 - FjordOs(21): 0, NorKyst(21): 0
drop31i4 - FjordOs(1): 0.494624758784, NorKyst(1): 0.582059988884
drop51i4 - FjordOs(3): 0.494698260274, NorKyst(15): 0.580449182406
drop52i8 - FjordOs(4): 0.374175266439, NorKyst(1): 0.474047635699
drop61i4 - FjordOs(3): 0.4941990817, NorKyst(8): 0.575042931024
drop61i5 - FjordOs(3): 0.49419940206, NorKyst(8): 0.575071261949
drop91i11 - FjordOs(8): 0.725402262773, NorKyst(12): 0.669093765931
drop101i6 - FjordOs(15): 0.629862663157, NorKyst(15): 0.779464914241
drop102i9 - FjordOs(6): 0.86698089261, NorKyst(7): 0.767199942487


drop1i0 - FjordOs(11.0333333333): 0.166708533673, NorKyst(11.0333333333): 0.135543056276
drop4i7 - FjordOs(2.08333333333): 0.551249063581, NorKyst(1.31666666667): 0.45290788889
drop6i12 - FjordOs(3.98333333333): 0.0721940733945, NorKyst(11.7833333333): 0.455830942207
drop7i10 - FjordOs(0.383333333333): 0.500736617032, NorKyst(0.383333333333): 0.555661092655
drop8i1 - FjordOs(21.1333333333): 0, NorKyst(21.1333333333): 0
drop31i4 - FjordOs(1.45): 0.494624758784, NorKyst(1.45): 0.582059988884
drop51i4 - FjordOs(3.21666666667): 0.494698260274, NorKyst(15.9166666667): 0.580449182406
drop52i8 - FjordOs(4.25): 0.374175266439, NorKyst(1.33333333333): 0.474047635699
drop61i4 - FjordOs(3.21666666667): 0.4941990817, NorKyst(8.93333333333): 0.575042931024
drop61i5 - FjordOs(3.16666666667): 0.49419940206, NorKyst(8.93333333333): 0.575071261949
drop91i11 - FjordOs(8.15): 0.725402262773, NorKyst(12.8): 0.669093765931
drop101i6 - FjordOs(15.35): 0.629862663157, NorKyst(15.35): 0.779464914241
drop102i9 - FjordOs(6.23333333333): 0.86698089261, NorKyst(7.23333333333): 0.767199942487
